Make,Transmission,RegistrationNumber
Toyota,Automatic,JU28 XRC
Ford,Manual,ZL91 MNB
Honda,Automatic,TR04 GHF
BMW,Manual,YT56 PLE
Kia,Automatic,BR18 WQZ
Mazda,Manual,EX72 VDA
Hyundai,Automatic,NC65 JKY
Volkswagen,Manual,DL34 URT
Chevrolet,Automatic,QP08 ZME
Nissan,Manual,KV19 FXC
Toyota,Manual,GD22 HXP
Kia,Manual,RD60 QEL
Honda,Automatic,AP33 VUZ
Mazda,Automatic,KM91 DJF
Ford,Manual,SE75 XNH
Hyundai,Manual,VA46 BLP
Volkswagen,Automatic,YU84 TSC
BMW,Automatic,WD13 GKL
Chevrolet,Manual,ZT20 FNP
Nissan,Automatic,HE59 RYQ